"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk",""
"F","Viktor Arvidsson","NSH","F","Act","","5","0","3","3","-1","4","14","2","0","0","2",""
"F","Jamie Benn","DAL","F","Act","","4","0","1","1","-2","5","12","1","0","6","2",""
"F","Jayce Hawryluk","FLA/OTT","F","Act","","5","2","2","4","2","4","9","0","0","11","0",""
"F","Vinnie Hinostroza","ARI","F","Act","","2","0","1","1","-1","0","5","0","0","1","1",""
"F","Travis Konecny","PHI","F","Act","","4","1","0","1","0","0","8","1","0","1","3",""
"F","Jordan Kyrou","STL","F","Act","","2","0","1","1","-1","0","2","0","0","0","1",""
"F","Conor Sheary","BUF/PIT","F","Act","","5","1","3","4","3","2","9","0","0","2","1",""
"F","Reilly Smith","VGK","F","Act","","4","0","2","2","1","0","6","0","0","4","1",""
"F","Brandon Tanev","PIT","F","Act","","4","0","0","0","-2","0","4","0","0","10","0",""
"F","Jonathan Toews","CHI","F","Act","","5","1","3","4","2","0","15","1","0","1","2",""
"F","Vincent Trocheck","FLA/CAR","F","Act","","4","1","1","2","-5","12","10","2","0","12","3",""
"F","Blake Wheeler","WPG","F","Act","","4","1","5","6","4","2","7","2","0","4","3",""
"D","Christian Djoos","WSH/ANA","D","Act","","6","1","2","3","3","0","9","1","0","1","9",""
"D","Oliver Ekman-Larsson","ARI","D","Act","","3","1","2","3","0","0","5","0","0","8","2",""
"D","Samuel Girard","COL","D","Act","","6","0","1","1","1","2","8","1","0","5","6",""
"D","Nick Leddy","NYI","D","Act","","4","0","1","1","1","0","1","0","0","3","1",""
"D","Ryan McDonagh","TB","D","Act","","2","0","0","0","0","2","1","0","0","3","6",""
"D","Jamie Oleksiak","DAL","D","Act","","4","0","0","0","-1","2","2","0","0","7","2",""
"F","Sam Bennett","CGY","F","Res","","3","0","0","0","-1","0","4","0","0","4","1",""
"F","Lucas Wallmark","CAR/FLA","F","Res","","3","1","1","2","3","0","2","0","0","1","0",""
"D","Derek Forbort","LA/CGY","D","Res","","3","0","0","0","-1","0","1","0","0","0","6",""
"F","Logan Couture","SJ","F","IR","","4","0","1","1","-3","0","9","1","0","3","7",""
"F","Conor Garland","ARI","F","IR","","2","0","0","0","-1","0","3","0","0","0","0",""
"D","Calvin de Haan","CHI","D","IR","","","","","","","","","","","","",""
"D","Jake Muzzin","TOR","D","IR","","","","","","","","","","","","",""
"D","Lawrence Pilut","BUF","D","IR","","1","0","0","0","1","0","0","0","0","1","0",""
"F","Alex Barre-Boulet","TB","F","Min","","","","","","","","","","","","",""
"F","Jeremy Bracco","TOR","F","Min","","","","","","","","","","","","",""
"F","Robert Carpenter","NYI","F","Min","","","","","","","","","","","","",""
"F","Ivan Chekhovich","SJ","F","Min","","","","","","","","","","","","",""
"F","Max Comtois","ANA","F","Min","","","","","","","","","","","","",""
"F","Patrick Harper","NSH","F","Min","","","","","","","","","","","","",""
"F","Axel Holmstrom","(N/A)","F","Min","","","","","","","","","","","","",""
"F","Brett Leason","WSH","F","Min","","","","","","","","","","","","",""
"F","Alex Limoges","(N/A)","F","Min","","","","","","","","","","","","",""
"F","Blake McLaughlin","ANA","F","Min","","","","","","","","","","","","",""
"F","Allan McShane","MON","F","Min","","","","","","","","","","","","",""
"F","John Quenneville","CHI","F","Min","","","","","","","","","","","","",""
"F","Grant Silianoff","(N/A)","F","Min","","","","","","","","","","","","",""
"F","Matthew Strome","PHI","F","Min","","","","","","","","","","","","",""
"F","Joel Teasdale","MON","F","Min","","","","","","","","","","","","",""
"F","Odeen Tufto","(N/A)","F","Min","","","","","","","","","","","","",""
"F","Samuel Walker","TB","F","Min","","","","","","","","","","","","",""
"F","Tyler Weiss","COL","F","Min","","","","","","","","","","","","",""
"D","Frederic Allard","NSH","D","Min","","","","","","","","","","","","",""
"D","Nicolas Beaudin","CHI","D","Min","","","","","","","","","","","","",""
"D","Declan Chisholm","WPG","D","Min","","","","","","","","","","","","",""
"D","Dennis Cholowski","DET","D","Min","","","","","","","","","","","","",""
"D","Thomas Gregoire","SJ","D","Min","","","","","","","","","","","","",""
"D","Thomas Harley","DAL","D","Min","","","","","","","","","","","","",""
"D","Jackson LaCombe","ANA","D","Min","","","","","","","","","","","","",""
"D","Roland McKeown","CAR","D","Min","","","","","","","","","","","","",""
"D","Brinson Pasichnuk","SJ","D","Min","","","","","","","","","","","","",""
"D","Scott Perunovich","STL","D","Min","","","","","","","","","","","","",""
"D","Matthew Robertson","NYR","D","Min","","","","","","","","","","","","",""
"D","Jordan Schmaltz","TOR/NYI","D","Min","","","","","","","","","","","","",""
"D","Michael Stone","CGY","D","Min","","0","0","0","0","0","0","0","0","0","0","0",""
"D","Marshall Warren","MIN","D","Min","","","","","","","","","","","","",""
"D","Mikael Wikstrand","OTT","D","Min","","","","","","","","","","","","",""
"F","Bryce Brodzinski","PHI","F","-","","","","","","","","","","","","",""
"F","Austin Czarnik","CGY","F","-","","","","","","","","","","","","",""
"F","Justin Dowling","DAL","F","-","","","","","","","","","","","","",""
"F","Torrey Mitchell","(N/A)","F","-","","","","","","","","","","","","",""
"F","Linus Sandin","PHI","F","-","","","","","","","","","","","","",""
"F","Kyle Turris","NSH","F","-","","","","","","","","","","","","",""
"F","Teemu Turunen","(N/A)","F","-","","","","","","","","","","","","",""
"D","Cody Goloubef","OTT/DET","D","-","","","","","","","","","","","","",""
"D","Brian Lashoff","DET","D","-","","","","","","","","","","","","",""
"D","Anton Lindholm","COL","D","-","","","","","","","","","","","","",""
"D","Tyler Tucker","STL","D","-","","","","","","","","","","","","",""
"Totals","","","","","","89","10","30","40","2","35","146","12","0","88","59",""

"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","W-G","GP","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Anton Khudobin","DAL","G","Act","","0","2","2.04","55",".932","0","0","0","0","0","0","0"
"G","Ben Bishop","DAL","G","Res","","0","2","2.60","45",".900","0","0","0","0","0","0","0"
"G","Dominic Basse","CHI","G","Min","","0","","","","","","","","","","",""
"G","Jack Lafontaine","CAR","G","Min","","0","","","","","","","","","","",""
"G","Hunter Miska","COL","G","Min","","0","","","","","","","","","","",""
"G","Tommy Nappier","(N/A)","G","Min","","0","","","","","","","","","","",""
"G","Alex Nedeljkovic","CAR","G","Min","","0","","","","","","","","","","",""
"G","Jake Oettinger","DAL","G","Min","","0","","","","","","","","","","",""
"G","Colton Point","DAL","G","Min","","0","","","","","","","","","","",""
"G","Hunter Shepard","(N/A)","G","-","","0","","","","","","","","","","",""
"Totals","","","","","","0","4","2.32","100",".917","0","0","0","0","0","0","0"
