"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Viktor Arvidsson","EDM","F","Act","@SJS Wed 10:30PM","44","7","10","17","-1","14","98","2","0","19","14"
"F","Jamie Benn","DAL","F","Act","@NSH Wed 8:00PM","62","15","24","39","6","58","103","7","0","85","37"
"F","Thomas Bordeleau","SJS","F","Act","EDM Wed 10:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Conor Garland","VAN","F","Act","VGK Wed 10:00PM","66","17","24","41","-8","50","144","13","0","39","44"
"F","Yanni Gourde","TBL","F","Act","","26","4","11","15","-7","13","36","1","0","45","16"
"F","Roope Hintz","DAL","F","Act","@NSH Wed 8:00PM","59","25","27","52","13","20","132","15","2","36","38"
"F","Wyatt Johnston","DAL","F","Act","@NSH Wed 8:00PM","65","24","36","60","6","12","171","21","3","35","35"
"F","Dakota Joshua","VAN","F","Act","VGK Wed 10:00PM","20","2","2","4","-6","11","23","2","1","63","11"
"F","Travis Konecny","PHI","F","Act","","68","22","43","65","-12","45","154","16","3","82","34"
"F","Nick Paul","TBL","F","Act","","16","6","3","9","8","10","23","0","0","12","4"
"F","Vincent Trocheck","NYR","F","Act","","67","20","25","45","2","40","171","10","3","183","68"
"F","Tom Wilson","WSH","F","Act","","35","16","16","32","15","40","74","8","3","96","25"
"D","Bowen Byram","BUF","D","Act","","50","4","19","23","3","32","62","2","0","52","73"
"D","Noah Hanifin","VGK","D","Act","@VAN Wed 10:00PM","64","9","21","30","0","14","121","7","0","33","89"
"D","Thomas Harley","DAL","D","Act","@NSH Wed 8:00PM","63","12","27","39","23","14","137","11","0","28","87"
"D","Nick Jensen","OTT","D","Act","","35","3","9","12","12","4","46","0","0","32","47"
"D","Scott Perunovich","NYI","D","Act","","13","1","3","4","-4","2","9","0","0","3","9"
"D","Matt Roy","WSH","D","Act","","56","2","19","21","31","25","64","0","0","98","98"
"F","Lawson Crouse","UTA","F","Res","","53","7","3","10","-5","26","88","0","0","128","35"
"F","Jordan Kyrou","STL","F","Res","","67","27","26","53","12","18","189","13","0","41","30"
"D","Jake McCabe","TOR","D","Res","","57","2","15","17","21","38","65","0","0","102","117"
"F","Oliver Bjorkstrand","TBL","F","IR","","63","15","21","36","-2","14","122","8","0","63","13"
"F","Xavier Bourgault","OTT","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Braeden Bowman","VGK","F","Min","@VAN Wed 10:00PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Connor Clattenburg","EDM","F","Min","@SJS Wed 10:30PM","0","0","0","0","0","0","0","0","0","0","0"
"F","Ryan Conmy","LAK","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Logan Cooley","UTA","F","Min","","59","17","30","47","3","34","122","16","0","44","27"
"F","Lucas Ellinas","OTT","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Aiden Fink","NSH","F","Min","DAL Wed 8:00PM","0","0","0","0","0","0","0","0","0","0","0"
