"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Dustin Byfuglien","WPG","F,D","40","CGY 1<br/>@WPG 5 F","65","15","27","42","6","118","196","15","1","195","57"
"F","Valtteri Filppula","TBL","F","Act","BOS 2<br/>@TBL 3 F","69","10","33","43","-7","22","84","15","0","18","26"
"F","Justin Fontaine","MIN","F","Act","MIN 2<br/>@STL 4 F","52","8","12","20","6","6","75","1","0","8","16"
"F","Ales Hemsky","DAL","F","Act","NSH 1<br/>@DAL 4 F","62","9","16","25","-12","16","115","6","0","20","24"
"F","Marian Hossa","CHI","F","Act","CHI 2<br/>@COL 3 F","68","19","32","51","11","28","208","16","1","56","21"
"F","Tyler Kennedy","SJS/NYI","F","Act","CBJ 5<br/>@NYI 4 F","20","3","3","6","-4","4","33","0","0","26","2"
"F","Nikita Kucherov","TBL","F","Act","BOS 2<br/>@TBL 3 F","70","26","31","57","35","31","160","11","0","54","26"
"F","Matt Moulson","BUF","F","Act","PIT 2<br/>@BUF 0 F","64","10","23","33","-10","2","127","8","0","32","44"
"F","Ondrej Palat","TBL","F","Act","BOS 2<br/>@TBL 3 F","63","15","37","52","28","22","124","7","2","103","45"
"F","Ryan Reaves","STL","F","Act","MIN 2<br/>@STL 4 F","54","5","4","9","1","82","36","0","0","182","12"
"F","Brad Richards","CHI","F","Act","CHI 2<br/>@COL 3 F","64","9","24","33","3","10","167","6","0","17","26"
"F","Kris Versteeg","CHI","F","Act","CHI 2<br/>@COL 3 F","46","13","18","31","16","29","101","4","0","19","16"
"D","Matt Carle","TBL","D","Act","BOS 2<br/>@TBL 3 F","45","4","10","14","11","24","58","1","0","18","74"
"D","Nicolas Deslauriers","BUF","F,D","34","PIT 2<br/>@BUF 0 F","66","5","9","14","-18","67","58","0","1","211","33"
"D","Toby Enstrom","WPG","D","Act","CGY 1<br/>@WPG 5 F","50","4","15","19","5","30","53","5","0","26","82"
"D","Erik Karlsson","OTT","D","Act","OTT 3<br/>@PHI 1 F","68","18","36","54","2","38","244","23","0","75","75"
"D","Matt Niskanen","WSH","D","Act","NYR 4<br/>@WSH 2 F","69","3","17","20","7","45","98","6","0","121","86"
"D","Marc Staal","NYR","D","Act","NYR 4<br/>@WSH 2 F","68","5","13","18","17","42","85","0","2","84","109"
"F","Richard Panik","TBL/TOR","F","Res","MTL 4<br/>@TOR 3 F","56","10","5","15","-11","29","65","2","0","75","43"
