"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Cam Atkinson","CBJ","F","Act","","3","0","0","0","-1","0","14","0","0","5","1"
"F","Sean Bergenheim","FLA","F","Act","","1","0","0","0","-1","2","3","0","0","1","0"
"F","Dave Bolland","TOR","F","Act","","2","0","0","0","-1","0","1","0","0","4","0"
"F","Jeff Carter","LAK","F","Act","","3","0","2","2","0","2","7","1","0","2","0"
"F","Brian Gionta","MTL","F","Act","","3","1","1","2","-1","0","4","0","0","1","1"
"F","Cody Hodgson","BUF","F","Act","NYI 4<br/>@BUF 3 F","3","0","1","1","0","0","7","0","0","4","3"
"F","Quinton Howden","FLA","F","Act","","3","1","0","1","1","6","4","0","0","3","3"
"F","Pat Maroon","ANA","F","Act","COL 2<br/>@ANA 3 F","3","1","1","2","0","0","4","1","0","5","0"
"F","Mason Raymond","TOR","F","Act","","4","0","2","2","-2","2","5","1","0","1","1"
"F","Brad Richardson","VAN","F","Act","CGY 1<br/>@VAN 5 F","1","1","1","2","4","0","3","0","0","1","1"
"F","Jordan Schroeder","VAN","F","Act","CGY 1<br/>@VAN 5 F","2","0","0","0","-1","0","2","0","0","0","0"
"F","Travis Zajac","NJD","F","Act","BOS 2<br/>@NJD 3 F","4","1","2","3","-2","2","11","2","0","2","0"
"D","Kevin Bieksa","VAN","D","Act","CGY 1<br/>@VAN 5 F","3","0","2","2","1","0","8","2","0","10","1"
"D","Francis Bouillon","MTL","D","Act","","3","0","0","0","-3","0","0","0","0","7","1"
"D","Dougie Hamilton","BOS","D","Act","BOS 2<br/>@NJD 3 F","4","0","3","3","4","4","9","1","0","7","6"
"D","Thomas Hickey","NYI","D","Act","NYI 4<br/>@BUF 3 F","2","0","0","0","-1","0","3","0","0","3","2"
"D","Brian Lashoff","DET","D","Act","DET 3<br/>@STL 0 F","3","0","0","0","-2","2","0","0","0","1","4"
"D","Brooks Orpik","PIT","D","Act","OTT 3<br/>@PIT 2 F","4","0","0","0","-2","0","4","0","0","14","8"
"F","Daniel Carcillo","LAK/NYR","F","Res","","2","0","0","0","-2","2","1","0","0","4","3"
"D","Kevan Miller","BOS","D","Res","BOS 2<br/>@NJD 3 F","4","0","0","0","5","6","4","0","0","15","4"
"D","Jarred Tinordi","MTL","D","Res","","1","0","0","0","-1","0","0","0","0","1","3"
"F","Eric Boulton","NYI","F","IR","NYI 4<br/>@BUF 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Lars Eller","MTL","F","IR","","3","0","0","0","-2","0","8","0","0","1","6"
"F","Michael Grabner","NYI","F","IR","NYI 4<br/>@BUF 3 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Jesse Joensuu","EDM","F","IR","","0","0","0","0","0","0","0","0","0","0","0"
"D","John Moore","NYR","D","IR","","2","1","0","1","1","0","5","0","0","2","4"
"D","Ryan Murray","CBJ","D","IR","","0","0","0","0","0","0","0","0","0","0","0"
"D","Christopher Tanev","VAN","D","IR","CGY 1<br/>@VAN 5 F","1","0","0","0","0","0","0","0","0","0","2"
"F","Juhamatti Aaltonen","(N/A)","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Bobby Butler","FLA","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
"F","Mitch Callahan","DET","F","Min","DET 3<br/>@STL 0 F","0","0","0","0","0","0","0","0","0","0","0"
"F","Chris Calnan","CHI","F","Min","","0","0","0","0","0","0","0","0","0","0","0"
