"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Viktor Arvidsson","NSH","F","Act","","6","2","2","4","1","0","20","0","1","2","4"
"F","Jamie Benn","DAL","F","Act","","8","4","4","8","-4","2","28","5","0","14","10"
"F","Logan Couture","SJ","F","Act","","6","2","3","5","6","0","10","2","0","0","7"
"F","Ryan Hartman","CHI/NSH","F","Act","","6","1","2","3","1","4","3","0","0","3","9"
"F","Travis Konecny","PHI","F","Act","","7","2","3","5","4","11","14","0","0","5","7"
"F","Conor Sheary","PIT","F","Act","","5","2","0","2","1","2","7","0","0","2","4"
"F","Reilly Smith","VGK","F","Act","","1","0","0","0","-2","0","2","0","0","1","0"
"F","Brandon Tanev","WPG","F","Act","","4","0","0","0","0","2","4","0","0","14","4"
"F","Jonathan Toews","CHI","F","Act","","7","3","5","8","-1","4","18","2","0","3","2"
"F","Vincent Trocheck","FLA","F","Act","FLA 4<br/>@BOS 2 F","6","4","5","9","-3","2","21","4","1","10","4"
"F","Kyle Turris","OTT/NSH","F","Act","","5","1","4","5","6","6","10","0","0","2","1"
"F","Blake Wheeler","WPG","F","Act","","7","1","5","6","0","6","19","3","0","14","6"
"D","Karl Alzner","MON","D","Act","","7","0","0","0","-3","7","9","0","0","6","11"
"D","Oliver Ekman-Larsson","ARI","D","Act","","7","2","2","4","1","8","23","2","0","14","5"
"D","Alexei Emelin","NSH","D","Act","","5","0","0","0","-1","0","4","0","0","12","7"
"D","Travis Hamonic","CGY","D","Act","","7","0","2","2","0","5","19","0","0","12","12"
"D","Ryan McDonagh","NYR/TB","D","Act","","3","1","0","1","2","0","6","0","0","5","7"
"D","Jake Muzzin","LA","D","Act","","6","0","3","3","0","2","12","1","0","14","12"
"F","Vinnie Hinostroza","CHI","F","Res","","6","0","1","1","-3","2","5","0","0","4","6"
"F","Jakub Vrana","WSH","F","Res","","7","2","3","5","1","0","15","1","0","3","3"
"D","Samuel Girard","NSH/COL","D","Res","","6","0","1","1","-2","2","5","1","0","4","4"
"F","Alex Barre-Boulet","TB","F","Min","","","","","","","","","","","",""
"F","Sam Bennett","CGY","F","Min","","7","2","1","3","-4","0","16","0","0","14","4"
"F","Jeremy Bracco","TOR","F","Min","","","","","","","","","","","",""
"F","Bobo Carpenter","NYI","F","Min","","","","","","","","","","","",""
"F","Ivan Chekhovich","SJ","F","Min","","","","","","","","","","","",""
"F","Max Comtois","ANA","F","Min","","","","","","","","","","","",""
"F","Austin Czarnik","BOS","F","Min","FLA 4<br/>@BOS 2 F","","","","","","","","","","",""
"F","Chase De Leo","WPG","F","Min","","","","","","","","","","","",""
"F","Conor Garland","ARI","F","Min","","","","","","","","","","","",""
"F","Patrick Harper","NSH","F","Min","","","","","","","","","","","",""
"F","Jayce Hawryluk","FLA","F","Min","FLA 4<br/>@BOS 2 F","","","","","","","","","","",""
"F","Axel Holmstrom","DET","F","Min","","","","","","","","","","","",""
"F","Sean Kuraly","BOS","F","Min","FLA 4<br/>@BOS 2 F","5","0","0","0","-2","2","3","0","0","8","1"
"F","Jordan Kyrou","STL","F","Min","","","","","","","","","","","",""
"F","Curtis McKenzie","DAL","F","Min","","","","","","","","","","","",""
"F","Brian Pinho","WSH","F","Min","","","","","","","","","","","",""
"F","Andrew Shaw","MON","F","Min","","5","0","1","1","0","4","5","0","0","10","2"
"F","Tyler Sheehy","(N/A)","F","Min","","","","","","","","","","","",""
"F","Matthew Strome","PHI","F","Min","","","","","","","","","","","",""
"F","Jordan Szwarz","BOS","F","Min","FLA 4<br/>@BOS 2 F","","","","","","","","","","",""
"F","Tyler Vesel","(N/A)","F","Min","","","","","","","","","","","",""
"F","Sebastian Vidmar","(N/A)","F","Min","","","","","","","","","","","",""
"F","Samuel Walker","TB","F","Min","","","","","","","","","","","",""
"F","Lucas Wallmark","CAR","F","Min","","","","","","","","","","","",""
"D","Frederic Allard","NSH","D","Min","","","","","","","","","","","",""
"D","Yohann Auvitu","EDM","D","Min","","","","","","","","","","","",""
"D","Christian Djoos","WSH","D","Min","","1","0","0","0","-1","0","3","0","0","0","2"
"D","Taylor Fedun","BUF","D","Min","","","","","","","","","","","",""
"D","Benjamin Finkelstein","FLA","D","Min","","","","","","","","","","","",""
"D","Olivier Galipeau","VGK","D","Min","","","","","","","","","","","",""
"D","Tim Heed","SJ","D","Min","","","","","","","","","","","",""
"D","Patrick Holway","DET","D","Min","","","","","","","","","","","",""
"D","Roland McKeown","CAR","D","Min","","","","","","","","","","","",""
"D","Brennan Menell","MIN","D","Min","","","","","","","","","","","",""
"D","Artyom Minulin","(N/A)","D","Min","","","","","","","","","","","",""
"D","Brinson Pasichnuk","(N/A)","D","Min","","","","","","","","","","","",""
"D","Lawrence Pilut","BUF","D","Min","","","","","","","","","","","",""
"D","Jordan Schmaltz","STL","D","Min","","","","","","","","","","","",""
"F","Alex Broadhurst","CBJ","F","-","","","","","","","","","","","",""
"F","Justin Dowling","DAL","F","-","","","","","","","","","","","",""
"F","Curtis Valk","FLA","F","-","FLA 4<br/>@BOS 2 F","","","","","","","","","","",""
"F","Erik Walli Walterholm","ARI","F","-","","","","","","","","","","","",""
"D","Michael Brodzinski","SJ","D","-","","","","","","","","","","","",""
"D","Cody Donaghey","OTT","D","-","","","","","","","","","","","",""
"D","Ben Lovejoy","NJ","D","-","","","","","","","","","","","",""
"D","Casey Nelson","BUF","D","-","","","","","","","","","","","",""
"D","David Schlemko","MON","D","-","","","","","","","","","","","",""
"Totals","","","","","","140","29","47","76","-3","71","281","21","2","176","134"

"Goalies"
"Pos","Player","Team","Eligible","Status","Opponent","W-G","GP","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP","SHP"
"G","Kari Lehtonen","DAL","G","Act","","1","5","2.60","135",".912","0","0","0","0","0","0","0"
"G","Ben Bishop","DAL","G","Res","","0","3","1.94","37",".925","0","0","0","0","0","0","0"
"G","Ken Appleby","NJ","G","Min","","0","","","","","","","","","","",""
"G","Filip Gustavsson","PIT/OTT","G","Min","","0","","","","","","","","","","",""
"G","Christoffer Hernberg","(N/A)","G","Min","","0","","","","","","","","","","",""
"G","Jack Lafontaine","CAR","G","Min","","0","","","","","","","","","","",""
"G","Maxime Lagace","VGK","G","Min","","0","","","","","","","","","","",""
"G","Alex Nedeljkovic","CAR","G","Min","","0","","","","","","","","","","",""
"G","Colton Point","DAL","G","Min","","0","","","","","","","","","","",""
"G","Andreas Bernard","(N/A)","G","-","","0","","","","","","","","","","",""
"G","Michael Bitzer","(N/A)","G","-","","0","","","","","","","","","","",""
"G","Peter Budaj","TB","G","-","","0","","","","","","","","","","",""
"G","Antti Niemi","PIT/FLA/MON","G","-","","0","","","","","","","","","","",""
"G","Matt O'Connor","NSH","G","-","","0","","","","","","","","","","",""
"Totals","","","","","","1","8","2.44","172",".915","0","0","0","0","0","0","0"
