"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"F","Viktor Arvidsson","NSH","F","Act","CHI 2<br/>@NSH 5 F","43","27","8","35","8","22","147","1","1","15","18"
"F","Jamie Benn","DAL","F","Act","MIN 0<br/>@DAL 3 F","62","24","20","44","7","48","145","10","0","108","60"
"F","Logan Couture","SJ","F","Act","COL 2<br/>@SJ 5 F","66","23","36","59","2","12","160","15","2","49","46"
"F","Conor Garland","ARI","F","Act","WPG 4<br/>@ARI 2 F","34","12","1","13","2","8","88","5","0","24","9"
"F","Jayce Hawryluk","FLA","F","Act","NJ 4<br/>@FLA 3 F","12","0","2","2","-4","2","7","1","0","30","6"
"F","Vinnie Hinostroza","ARI","F","Act","WPG 4<br/>@ARI 2 F","45","8","14","22","-4","6","81","1","0","46","26"
"F","Travis Konecny","PHI","F","Act","CAR 4<br/>@PHI 3 F","63","19","19","38","-1","36","137","7","0","50","34"
"F","Reilly Smith","VGK","F","Act","VGK 2<br/>@LA 5 F","60","13","26","39","5","12","147","13","3","33","28"
"F","Jonathan Toews","CHI","F","Act","CHI 2<br/>@NSH 5 F","66","29","38","67","3","28","180","20","1","26","31"
"F","Vincent Trocheck","FLA","F","Act","NJ 4<br/>@FLA 3 F","38","6","19","25","0","38","111","10","0","81","27"
"F","Lucas Wallmark","CAR","F","Act","CAR 4<br/>@PHI 3 F","48","7","11","18","-7","26","84","6","0","48","26"
"F","Blake Wheeler","WPG","F","Act","WPG 4<br/>@ARI 2 F","65","17","63","80","8","47","191","27","2","66","48"
"D","Christian Djoos","WSH","D","Act","NYI 3<br/>@WSH 0 F","14","0","2","2","6","2","8","0","0","5","6"
"D","Oliver Ekman-Larsson","ARI","D","Act","WPG 4<br/>@ARI 2 F","63","9","26","35","-9","42","139","17","1","121","43"
"D","Samuel Girard","COL","D","Act","COL 2<br/>@SJ 5 F","60","4","14","18","9","6","91","7","0","40","65"
"D","Tim Heed","SJ","D","Act","COL 2<br/>@SJ 5 F","1","0","0","0","-1","0","3","0","0","0","1"
"D","Nick Leddy","NYI","D","Act","NYI 3<br/>@WSH 0 F","61","2","18","20","-5","18","80","10","0","53","57"
"D","Ryan McDonagh","TB","D","Act","TB 6<br/>@BOS 3 F","65","7","26","33","27","28","101","3","2","71","113"
"F","Austin Czarnik","CGY","F","Res","EDM 3<br/>@CGY 1 F","12","0","3","3","-2","6","15","1","0","0","7"
"F","Ryan Hartman","NSH/PHI","F","Res","CAR 4<br/>@PHI 3 F","45","6","5","11","4","40","86","0","0","48","13"
"F","Conor Sheary","BUF","F","Res","BUF 7<br/>@DET 1 F","61","12","18","30","-4","12","112","5","0","17","24"
"F","Kyle Turris","NSH","F","Res","CHI 2<br/>@NSH 5 F","42","7","14","21","-3","29","60","6","0","21","9"
"F","Sam Bennett","CGY","F","IR","EDM 3<br/>@CGY 1 F","54","8","10","18","-8","70","84","5","0","84","20"
"F","Brandon Tanev","WPG","F","IR","WPG 4<br/>@ARI 2 F","63","12","11","23","4","39","103","0","3","215","63"
"D","Calvin de Haan","CAR","D","IR","CAR 4<br/>@PHI 3 F","59","1","9","10","0","14","86","0","0","153","86"
"D","Travis Hamonic","CGY","D","IR","EDM 3<br/>@CGY 1 F","52","6","9","15","8","27","99","0","3","35","114"
"D","Jake Muzzin","LA/TOR","D","IR","TOR 5<br/>@MON 6 F","66","5","24","29","15","41","104","3","1","148","119"
"F","Alex Barre-Boulet","TB","F","Min","TB 6<br/>@BOS 3 F","","","","","","","","","","",""
"F","Jeremy Bracco","TOR","F","Min","TOR 5<br/>@MON 6 F","","","","","","","","","","",""
"F","Bobo Carpenter","NYI","F","Min","NYI 3<br/>@WSH 0 F","","","","","","","","","","",""
"F","Ivan Chekhovich","SJ","F","Min","COL 2<br/>@SJ 5 F","","","","","","","","","","",""
"F","Max Comtois","ANA","F","Min","","9","1","5","6","3","7","7","0","0","26","3"
"F","Eric Florchuk","WSH","F","Min","NYI 3<br/>@WSH 0 F","","","","","","","","","","",""
"F","Patrick Harper","NSH","F","Min","","","","","","","","","","","",""
"F","Axel Holmstrom","DET","F","Min","BUF 7<br/>@DET 1 F","","","","","","","","","","",""
"F","Jordan Kyrou","STL","F","Min","VAN 2<br/>@STL 3 F","10","1","2","3","1","0","13","0","0","2","1"
"F","Alex Limoges","(N/A)","F","Min","","","","","","","","","","","",""
"F","Curtis McKenzie","VGK","F","Min","VGK 2<br/>@LA 5 F","","","","","","","","","","",""
"F","Blake McLaughlin","ANA","F","Min","","","","","","","","","","","",""
"F","Allan McShane","MON","F","Min","","","","","","","","","","","",""
