"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk",""
"F","Viktor Arvidsson","NSH","F","Act","","52","15","10","25","-3","22","113","6","0","27","22",""
"F","Jamie Benn","DAL","F","Act","","65","19","19","38","-2","48","151","13","0","161","55",""
"F","Jayce Hawryluk","FLA/OTT","F","Act","","8","0","2","2","-3","4","5","0","0","11","2",""
"F","Vinnie Hinostroza","ARI","F","Act","","58","5","14","19","0","14","109","1","0","46","22",""
"F","Travis Konecny","PHI","F","Act","","62","23","37","60","-1","28","133","22","0","62","27",""
"F","Jordan Kyrou","STL","F","Act","","24","4","4","8","2","8","33","1","0","8","6",""
"F","Conor Sheary","BUF/PIT","F","Act","","47","6","6","12","-16","6","69","3","0","18","19",""
"F","Reilly Smith","VGK","F","Act","","67","27","25","52","16","20","163","5","4","51","29",""
"F","Brandon Tanev","PIT","F","Act","","64","11","14","25","1","16","91","1","3","234","65",""
"F","Jonathan Toews","CHI","F","Act","","65","17","39","56","-4","48","157","7","1","55","33",""
"F","Vincent Trocheck","FLA/CAR","F","Act","","57","10","26","36","-3","37","131","5","1","89","33",""
"F","Blake Wheeler","WPG","F","Act","","67","21","38","59","-3","35","173","20","2","98","48",""
"D","Christian Djoos","WSH/ANA","D","Act","","0","0","0","0","0","0","0","0","0","0","0",""
"D","Oliver Ekman-Larsson","ARI","D","Act","","63","8","19","27","-3","38","130","7","1","121","63",""
"D","Samuel Girard","COL","D","Act","","64","4","29","33","0","15","88","12","0","41","86",""
"D","Nick Leddy","NYI","D","Act","","54","3","17","20","-2","14","70","4","0","59","71",""
"D","Ryan McDonagh","TB","D","Act","","48","1","11","12","7","17","49","0","1","33","95",""
"D","Jamie Oleksiak","DAL","D","Act","","29","2","2","4","-5","16","35","0","0","85","25",""
"F","Sam Bennett","CGY","F","Res","","48","8","4","12","0","34","78","1","0","95","12",""
"F","Lucas Wallmark","CAR/FLA","F","Res","","56","10","10","20","-2","18","69","6","1","52","23",""
"D","Derek Forbort","LA/CGY","D","Res","","14","0","0","0","-5","4","17","0","0","27","19",""
"F","Logan Couture","SJ","F","IR","","47","16","22","38","3","18","115","8","2","51","37",""
"F","Conor Garland","ARI","F","IR","","63","20","17","37","0","20","149","10","0","26","17",""
"D","Calvin de Haan","CHI","D","IR","","25","1","5","6","7","10","35","0","0","88","63",""
"D","Jake Muzzin","TOR","D","IR","","52","6","17","23","12","40","99","0","1","105","109",""
"D","Lawrence Pilut","BUF","D","IR","","2","0","0","0","1","0","1","0","0","0","3",""
"F","Alex Barre-Boulet","TB","F","Min","","","","","","","","","","","","",""
"F","Jeremy Bracco","TOR","F","Min","","","","","","","","","","","","",""
"F","Robert Carpenter","NYI","F","Min","","","","","","","","","","","","",""
"F","Ivan Chekhovich","SJ","F","Min","","","","","","","","","","","","",""
